Year,Month,Day,Weekday,Hour,Minute,Second,ContentLength,ElapsedTimeMilisecond 
2022,5,10,Tuesday,12,50,22,2730,58
2022,5,10,Tuesday,12,50,24,2730,77
2022,5,10,Tuesday,12,50,24,2730,61
2022,5,10,Tuesday,12,50,24,2730,65
2022,5,10,Tuesday,12,50,24,2730,58
2022,5,10,Tuesday,12,50,24,2730,58
2022,5,10,Tuesday,12,50,26,2730,57
2022,5,10,Tuesday,12,50,28,2730,53
2022,5,10,Tuesday,12,50,28,2730,59
2022,5,10,Tuesday,12,50,28,2730,60
2022,5,10,Tuesday,12,50,28,2730,60
2022,5,10,Tuesday,12,50,29,2730,64
2022,5,10,Tuesday,12,50,31,2730,64
2022,5,10,Tuesday,12,50,33,2730,59
2022,5,10,Tuesday,12,50,33,2730,61
2022,5,10,Tuesday,12,50,35,2730,69
2022,5,10,Tuesday,12,50,35,2730,58
2022,5,10,Tuesday,12,50,37,2730,58
2022,5,10,Tuesday,12,50,38,2730,64
2022,5,10,Tuesday,12,50,40,2730,63
2022,5,10,Tuesday,12,50,41,2730,84
2022,5,10,Tuesday,12,50,41,2730,64
2022,5,10,Tuesday,12,50,41,2730,71
2022,5,10,Tuesday,12,50,42,2730,66
2022,5,10,Tuesday,12,50,42,2730,58
2022,5,10,Tuesday,12,50,44,2730,60
2022,5,10,Tuesday,12,50,45,2730,88
2022,5,10,Tuesday,12,50,47,2730,66
2022,5,10,Tuesday,12,50,49,2730,64
2022,5,10,Tuesday,12,50,51,2730,62
2022,5,10,Tuesday,12,50,52,2730,67
2022,5,10,Tuesday,12,50,54,2730,64
2022,5,10,Tuesday,12,50,56,2730,64
2022,5,10,Tuesday,12,50,58,2730,62
2022,5,10,Tuesday,12,50,59,2730,55
2022,5,10,Tuesday,12,51,1,2730,58
2022,5,10,Tuesday,12,51,2,2730,64
2022,5,10,Tuesday,12,51,2,2730,57
2022,5,10,Tuesday,12,51,2,2730,66
2022,5,10,Tuesday,12,51,3,2730,61
2022,5,10,Tuesday,12,51,4,2730,70
2022,5,10,Tuesday,12,51,5,2730,59
2022,5,10,Tuesday,12,51,8,2730,61
2022,5,10,Tuesday,12,51,9,2730,64
2022,5,10,Tuesday,12,51,9,2730,61
2022,5,10,Tuesday,12,51,9,2730,61
2022,5,10,Tuesday,12,51,10,2730,61
2022,5,10,Tuesday,12,51,11,2730,62
