Year,Month,Day,Weekday,Hour,Minute,Second,ContentLength,ElapsedTimeMilisecond 
2022,5,10,Tuesday,12,3,26,2730,68
2022,5,10,Tuesday,12,3,27,2730,67
2022,5,10,Tuesday,12,3,27,2730,71
2022,5,10,Tuesday,12,3,27,2730,75
2022,5,10,Tuesday,12,3,28,2730,61
2022,5,10,Tuesday,12,3,28,2730,72
2022,5,10,Tuesday,12,3,30,2730,70
2022,5,10,Tuesday,12,3,32,2730,66
2022,5,10,Tuesday,12,3,32,2730,63
2022,5,10,Tuesday,12,3,32,2730,72
2022,5,10,Tuesday,12,3,32,2730,68
2022,5,10,Tuesday,12,3,33,2730,77
2022,5,10,Tuesday,12,3,35,2730,70
2022,5,10,Tuesday,12,3,37,2730,60
2022,5,10,Tuesday,12,3,37,2730,60
2022,5,10,Tuesday,12,3,38,2730,75
2022,5,10,Tuesday,12,3,38,2730,73
2022,5,10,Tuesday,12,3,41,2730,59
2022,5,10,Tuesday,12,3,42,2730,71
2022,5,10,Tuesday,12,3,44,2730,91
2022,5,10,Tuesday,12,3,45,2730,62
2022,5,10,Tuesday,12,3,45,2730,64
2022,5,10,Tuesday,12,3,45,2730,69
2022,5,10,Tuesday,12,3,46,2730,91
2022,5,10,Tuesday,12,3,46,2730,88
2022,5,10,Tuesday,12,3,48,2730,71
2022,5,10,Tuesday,12,3,49,2730,78
2022,5,10,Tuesday,12,3,51,2730,74
2022,5,10,Tuesday,12,3,52,2730,88
2022,5,10,Tuesday,12,3,55,2730,65
2022,5,10,Tuesday,12,3,56,2730,85
2022,5,10,Tuesday,12,3,58,2730,75
2022,5,10,Tuesday,12,4,0,2730,49
2022,5,10,Tuesday,12,4,2,2730,68
2022,5,10,Tuesday,12,4,3,2730,75
2022,5,10,Tuesday,12,4,5,2730,88
2022,5,10,Tuesday,12,4,6,2730,74
2022,5,10,Tuesday,12,4,6,2730,80
2022,5,10,Tuesday,12,4,6,2730,68
2022,5,10,Tuesday,12,4,7,2730,69
2022,5,10,Tuesday,12,4,9,2730,89
2022,5,10,Tuesday,12,4,10,2730,87
2022,5,10,Tuesday,12,4,12,2730,83
2022,5,10,Tuesday,12,4,13,2730,65
2022,5,10,Tuesday,12,4,13,2730,62
2022,5,10,Tuesday,12,4,13,2730,65
2022,5,10,Tuesday,12,4,14,2730,54
2022,5,10,Tuesday,12,4,15,2730,64
2022,5,10,Tuesday,12,4,16,2730,70
2022,5,10,Tuesday,12,4,17,2730,59
2022,5,10,Tuesday,12,4,18,2730,62
2022,5,10,Tuesday,12,4,18,2730,71
2022,5,10,Tuesday,12,4,20,2730,89
2022,5,10,Tuesday,12,4,21,2730,73
2022,5,10,Tuesday,12,4,22,2730,61
2022,5,10,Tuesday,12,4,22,2730,70
2022,5,10,Tuesday,12,4,23,2730,77
2022,5,10,Tuesday,12,4,23,2730,71
2022,5,10,Tuesday,12,4,23,2730,65
2022,5,10,Tuesday,12,4,24,2730,66
2022,5,10,Tuesday,12,4,24,2730,77
2022,5,10,Tuesday,12,4,24,2730,77
2022,5,10,Tuesday,12,4,26,2730,76
2022,5,10,Tuesday,12,4,28,2730,93
2022,5,10,Tuesday,12,4,28,2730,65
2022,5,10,Tuesday,12,4,29,2730,64
2022,5,10,Tuesday,12,4,29,2730,594
2022,5,10,Tuesday,12,4,30,2730,71
2022,5,10,Tuesday,12,4,31,2730,74
2022,5,10,Tuesday,12,4,31,2730,76
2022,5,10,Tuesday,12,4,32,2730,76
2022,5,10,Tuesday,12,4,33,2730,76
2022,5,10,Tuesday,12,4,35,2730,657
2022,5,10,Tuesday,12,4,36,2730,66
2022,5,10,Tuesday,12,4,38,2730,849
2022,5,10,Tuesday,12,4,38,2730,208
2022,5,10,Tuesday,12,4,39,2730,299
2022,5,10,Tuesday,12,4,41,2730,187
2022,5,10,Tuesday,12,4,44,2730,667
2022,5,10,Tuesday,12,4,46,2730,203
2022,5,10,Tuesday,12,4,47,2730,62
2022,5,10,Tuesday,12,4,48,2730,130
2022,5,10,Tuesday,12,4,50,2730,189
2022,5,10,Tuesday,12,4,52,2730,522
2022,5,10,Tuesday,12,4,53,2730,285
2022,5,10,Tuesday,12,4,55,2730,198
2022,5,10,Tuesday,12,4,56,2730,149
2022,5,10,Tuesday,12,4,59,2730,275
2022,5,10,Tuesday,12,5,1,2730,122
2022,5,10,Tuesday,12,5,2,2730,63
2022,5,10,Tuesday,12,5,4,2730,83
2022,5,10,Tuesday,12,5,4,2730,64
2022,5,10,Tuesday,12,5,5,2730,66
2022,5,10,Tuesday,12,5,7,2730,88
2022,5,10,Tuesday,12,5,8,2730,77
2022,5,10,Tuesday,12,5,9,2730,59
2022,5,10,Tuesday,12,5,11,2730,65
2022,5,10,Tuesday,12,5,13,2730,61
2022,5,10,Tuesday,12,5,14,2730,62
2022,5,10,Tuesday,12,5,14,2730,69
2022,5,10,Tuesday,12,5,15,2730,77
2022,5,10,Tuesday,12,5,17,2730,63
2022,5,10,Tuesday,12,5,18,2730,58
2022,5,10,Tuesday,12,5,18,2730,59
2022,5,10,Tuesday,12,5,18,2730,62
2022,5,10,Tuesday,12,5,18,2730,67
2022,5,10,Tuesday,12,5,18,2730,59
2022,5,10,Tuesday,12,5,19,2730,54
2022,5,10,Tuesday,12,5,19,2730,71
2022,5,10,Tuesday,12,5,21,2730,268
2022,5,10,Tuesday,12,5,22,2730,61
2022,5,10,Tuesday,12,5,23,2730,60
2022,5,10,Tuesday,12,5,23,2730,75
2022,5,10,Tuesday,12,5,23,2730,58
2022,5,10,Tuesday,12,5,23,2730,59
2022,5,10,Tuesday,12,5,23,2730,58
2022,5,10,Tuesday,12,5,25,2730,79
2022,5,10,Tuesday,12,5,25,2730,90
2022,5,10,Tuesday,12,5,25,2730,62
2022,5,10,Tuesday,12,5,26,2730,82
2022,5,10,Tuesday,12,5,27,2730,59
2022,5,10,Tuesday,12,5,29,2730,62
2022,5,10,Tuesday,12,5,30,2730,84
2022,5,10,Tuesday,12,5,32,2730,73
2022,5,10,Tuesday,12,5,34,2730,63
2022,5,10,Tuesday,12,5,35,2730,61
2022,5,10,Tuesday,12,5,37,2730,88
2022,5,10,Tuesday,12,5,39,2730,65
2022,5,10,Tuesday,12,5,41,2730,67
2022,5,10,Tuesday,12,5,43,2730,77
2022,5,10,Tuesday,12,5,43,2730,88
2022,5,10,Tuesday,12,5,43,2730,97
2022,5,10,Tuesday,12,5,44,2730,68
2022,5,10,Tuesday,12,5,44,2730,62
2022,5,10,Tuesday,12,5,47,2730,100
2022,5,10,Tuesday,12,5,47,2730,63
2022,5,10,Tuesday,12,5,48,2730,83
2022,5,10,Tuesday,12,5,50,2730,70
2022,5,10,Tuesday,12,5,52,2730,62
2022,5,10,Tuesday,12,5,54,2730,59
2022,5,10,Tuesday,12,5,54,2730,61
2022,5,10,Tuesday,12,5,55,2730,56
2022,5,10,Tuesday,12,5,57,2730,59
2022,5,10,Tuesday,12,5,59,2730,62
2022,5,10,Tuesday,12,6,0,2730,61
2022,5,10,Tuesday,12,6,2,2730,67
2022,5,10,Tuesday,12,6,2,2730,65
2022,5,10,Tuesday,12,6,3,2730,63
2022,5,10,Tuesday,12,6,3,2730,66
2022,5,10,Tuesday,12,6,4,2730,58
2022,5,10,Tuesday,12,6,5,2730,60
2022,5,10,Tuesday,12,6,6,2730,57
2022,5,10,Tuesday,12,6,8,2730,73
2022,5,10,Tuesday,12,6,10,2730,63
2022,5,10,Tuesday,12,6,11,2730,59
2022,5,10,Tuesday,12,6,11,2730,61
2022,5,10,Tuesday,12,6,11,2730,63
2022,5,10,Tuesday,12,6,11,2730,71
2022,5,10,Tuesday,12,6,13,2730,70
2022,5,10,Tuesday,12,6,14,2730,60
2022,5,10,Tuesday,12,6,16,2730,62
2022,5,10,Tuesday,12,6,17,2730,63
2022,5,10,Tuesday,12,6,17,2730,56
2022,5,10,Tuesday,12,6,18,2730,68
2022,5,10,Tuesday,12,6,20,2730,91
2022,5,10,Tuesday,12,6,21,2730,62
2022,5,10,Tuesday,12,6,21,2730,59
2022,5,10,Tuesday,12,6,21,2730,65
2022,5,10,Tuesday,12,6,23,2730,66
2022,5,10,Tuesday,12,6,24,2730,55
2022,5,10,Tuesday,12,6,25,2730,59
2022,5,10,Tuesday,12,6,25,2730,64
2022,5,10,Tuesday,12,6,27,2730,83
2022,5,10,Tuesday,12,6,27,2730,65
2022,5,10,Tuesday,12,6,29,2730,65
2022,5,10,Tuesday,12,6,31,2730,64
2022,5,10,Tuesday,12,6,33,2730,65
2022,5,10,Tuesday,12,6,34,2730,71
2022,5,10,Tuesday,12,6,36,2730,91
2022,5,10,Tuesday,12,6,37,2730,86
2022,5,10,Tuesday,12,6,37,2730,88
2022,5,10,Tuesday,12,6,39,2730,61
2022,5,10,Tuesday,12,6,40,2730,69
2022,5,10,Tuesday,12,6,42,2730,70
2022,5,10,Tuesday,12,6,44,2730,66
2022,5,10,Tuesday,12,6,46,2730,74
2022,5,10,Tuesday,12,6,48,2730,76
2022,5,10,Tuesday,12,6,48,2730,76
2022,5,10,Tuesday,12,6,48,2730,66
2022,5,10,Tuesday,12,6,50,2730,78
2022,5,10,Tuesday,12,6,50,2730,85
2022,5,10,Tuesday,12,6,52,2730,64
2022,5,10,Tuesday,12,6,52,2730,71
2022,5,10,Tuesday,12,6,54,2730,56
2022,5,10,Tuesday,12,6,56,2730,60
2022,5,10,Tuesday,12,6,56,2730,67
2022,5,10,Tuesday,12,6,58,2730,61
2022,5,10,Tuesday,12,6,58,2730,72
2022,5,10,Tuesday,12,7,0,2730,56
2022,5,10,Tuesday,12,7,2,2730,61
2022,5,10,Tuesday,12,7,3,2730,60
2022,5,10,Tuesday,12,7,4,2730,59
2022,5,10,Tuesday,12,7,5,2730,58
2022,5,10,Tuesday,12,7,6,2730,58
2022,5,10,Tuesday,12,7,7,2730,71
2022,5,10,Tuesday,12,7,7,2730,74
2022,5,10,Tuesday,12,7,9,2730,56
2022,5,10,Tuesday,12,7,11,2730,61
2022,5,10,Tuesday,12,7,13,2730,66
2022,5,10,Tuesday,12,7,15,2730,68
2022,5,10,Tuesday,12,7,16,2730,58
2022,5,10,Tuesday,12,7,18,2730,64
2022,5,10,Tuesday,12,7,20,2730,59
2022,5,10,Tuesday,12,7,22,2730,60
2022,5,10,Tuesday,12,7,22,2730,66
2022,5,10,Tuesday,12,7,24,2730,60
2022,5,10,Tuesday,12,7,25,2730,57
2022,5,10,Tuesday,12,7,25,2730,58
2022,5,10,Tuesday,12,7,25,2730,57
2022,5,10,Tuesday,12,7,27,2730,69
2022,5,10,Tuesday,12,7,28,2730,62
2022,5,10,Tuesday,12,7,29,2730,59
2022,5,10,Tuesday,12,7,29,2730,63
2022,5,10,Tuesday,12,7,31,2730,68
2022,5,10,Tuesday,12,7,32,2730,87
2022,5,10,Tuesday,12,7,34,2730,72
2022,5,10,Tuesday,12,7,37,2730,73
2022,5,10,Tuesday,12,7,39,2730,61
2022,5,10,Tuesday,12,7,40,2730,62
2022,5,10,Tuesday,12,7,40,2730,68
2022,5,10,Tuesday,12,7,41,2730,73
2022,5,10,Tuesday,12,7,41,2730,63
2022,5,10,Tuesday,12,7,41,2730,64
2022,5,10,Tuesday,12,7,41,2730,61
2022,5,10,Tuesday,12,7,43,2730,73
2022,5,10,Tuesday,12,7,44,2730,118
2022,5,10,Tuesday,12,7,44,2730,84
2022,5,10,Tuesday,12,7,45,2730,67
