Year,Month,Day,Weekday,Hour,Minute,Second,ContentLength,ElapsedTimeMilisecond 
2022,5,10,Tuesday,12,49,3,2730,59
2022,5,10,Tuesday,12,49,4,2730,63
2022,5,10,Tuesday,12,49,5,2730,57
2022,5,10,Tuesday,12,49,5,2730,60
2022,5,10,Tuesday,12,49,5,2730,63
2022,5,10,Tuesday,12,49,5,2730,61
2022,5,10,Tuesday,12,49,7,2730,57
2022,5,10,Tuesday,12,49,9,2730,62
2022,5,10,Tuesday,12,49,9,2730,64
2022,5,10,Tuesday,12,49,9,2730,60
2022,5,10,Tuesday,12,49,9,2730,58
2022,5,10,Tuesday,12,49,10,2730,63
2022,5,10,Tuesday,12,49,12,2730,60
2022,5,10,Tuesday,12,49,14,2730,59
2022,5,10,Tuesday,12,49,14,2730,62
2022,5,10,Tuesday,12,49,15,2730,66
2022,5,10,Tuesday,12,49,16,2730,62
2022,5,10,Tuesday,12,49,18,2730,55
2022,5,10,Tuesday,12,49,19,2730,60
2022,5,10,Tuesday,12,49,21,2730,55
2022,5,10,Tuesday,12,49,22,2730,57
2022,5,10,Tuesday,12,49,22,2730,60
2022,5,10,Tuesday,12,49,22,2730,61
2022,5,10,Tuesday,12,49,23,2730,54
2022,5,10,Tuesday,12,49,23,2730,60
2022,5,10,Tuesday,12,49,25,2730,58
2022,5,10,Tuesday,12,49,26,2730,61
2022,5,10,Tuesday,12,49,28,2730,62
2022,5,10,Tuesday,12,49,29,2730,64
2022,5,10,Tuesday,12,49,31,2730,59
2022,5,10,Tuesday,12,49,32,2730,60
2022,5,10,Tuesday,12,49,35,2730,63
2022,5,10,Tuesday,12,49,37,2730,58
2022,5,10,Tuesday,12,49,39,2730,65
2022,5,10,Tuesday,12,49,40,2730,63
2022,5,10,Tuesday,12,49,42,2730,59
2022,5,10,Tuesday,12,49,43,2730,73
2022,5,10,Tuesday,12,49,43,2730,66
2022,5,10,Tuesday,12,49,43,2730,71
2022,5,10,Tuesday,12,49,44,2730,60
2022,5,10,Tuesday,12,49,45,2730,71
2022,5,10,Tuesday,12,49,46,2730,55
2022,5,10,Tuesday,12,49,48,2730,61
2022,5,10,Tuesday,12,49,49,2730,61
2022,5,10,Tuesday,12,49,49,2730,60
2022,5,10,Tuesday,12,49,50,2730,61
2022,5,10,Tuesday,12,49,51,2730,55
2022,5,10,Tuesday,12,49,52,2730,64
2022,5,10,Tuesday,12,49,53,2730,63
2022,5,10,Tuesday,12,49,54,2730,61
2022,5,10,Tuesday,12,49,55,2730,61
2022,5,10,Tuesday,12,49,55,2730,57
2022,5,10,Tuesday,12,49,56,2730,57
2022,5,10,Tuesday,12,49,57,2730,57
2022,5,10,Tuesday,12,49,58,2730,70
2022,5,10,Tuesday,12,49,58,2730,69
2022,5,10,Tuesday,12,49,59,2730,69
2022,5,10,Tuesday,12,49,59,2730,61
2022,5,10,Tuesday,12,49,59,2730,60
2022,5,10,Tuesday,12,50,1,2730,81
2022,5,10,Tuesday,12,50,1,2730,111
2022,5,10,Tuesday,12,50,1,2730,57
2022,5,10,Tuesday,12,50,3,2730,58
2022,5,10,Tuesday,12,50,5,2730,64
2022,5,10,Tuesday,12,50,5,2730,60
2022,5,10,Tuesday,12,50,5,2730,59
2022,5,10,Tuesday,12,50,5,2730,60
2022,5,10,Tuesday,12,50,6,2730,58
2022,5,10,Tuesday,12,50,7,2730,85
2022,5,10,Tuesday,12,50,7,2730,62
2022,5,10,Tuesday,12,50,8,2730,55
2022,5,10,Tuesday,12,50,8,2730,64
2022,5,10,Tuesday,12,50,11,2730,65
2022,5,10,Tuesday,12,50,12,2730,63
